EELSMODEL report file
Wed 6. Feb 10:41:15 2008
FILENAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3
NAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3 [199]
Detector used:ideal detector
Detector gain:1.00000000e+000
Detector correlation factor:1.00000000e+000

List of components and their parameters
FITTER settings were

FITTERTYPE:Levenberg Marquardt
FRACTION:1.00000000e-003
MAXSTEP:1.00000000e+099
MINSTEP:1.00000000e-099
TOLERANCE:1.00000000e-010
USEGRADIENTS:0
Lorentz: Emax	free/locked	sigma 	Lorentz: FWHM	free/locked	sigma 	Lorentz: Height	free/locked	sigma 	Line: A	free/locked	sigma 	Line: B	free/locked	sigma 	goodness_of_fit	LRtestconfidence	
1.27009075e+002	free	1.#QNAN000e+000	9.84529959e+000	free	1.#QNAN000e+000	3.24540563e+003	free	1.#QNAN000e+000	8.10125597e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.509512e-001	The model is accepted at a confidence level of: 70.194911 percent
1.26933556e+002	free	1.#QNAN000e+000	1.00075417e+001	free	1.#QNAN000e+000	3.20568926e+003	free	1.#QNAN000e+000	8.08260415e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.204552e+000	The model is accepted at a confidence level of: 1.443948 percent
1.26973396e+002	free	1.#QNAN000e+000	9.98892218e+000	free	1.#QNAN000e+000	3.25129881e+003	free	1.#QNAN000e+000	8.06128486e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.792798e-001	The model is accepted at a confidence level of: 91.678908 percent
1.27057923e+002	free	1.#QNAN000e+000	1.01681130e+001	free	1.#QNAN000e+000	3.20588338e+003	free	1.#QNAN000e+000	8.03510181e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.001190e+000	The model is accepted at a confidence level of: 48.283159 percent
1.27093295e+002	free	1.#QNAN000e+000	1.01120369e+001	free	1.#QNAN000e+000	3.19764469e+003	free	1.#QNAN000e+000	8.07317728e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.008017e+000	The model is accepted at a confidence level of: 45.246457 percent
1.26981556e+002	free	1.#QNAN000e+000	9.91598487e+000	free	1.#QNAN000e+000	3.22696930e+003	free	1.#QNAN000e+000	8.09099952e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.019864e-001	The model is accepted at a confidence level of: 86.615553 percent
1.26947791e+002	free	1.#QNAN000e+000	9.96247437e+000	free	1.#QNAN000e+000	3.24663937e+003	free	1.#QNAN000e+000	8.07036649e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.039592e+000	The model is accepted at a confidence level of: 31.978758 percent
1.26972822e+002	free	1.#QNAN000e+000	1.00855123e+001	free	1.#QNAN000e+000	3.19317303e+003	free	1.#QNAN000e+000	8.03972488e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.001850e+000	The model is accepted at a confidence level of: 47.988000 percent
1.26985782e+002	free	1.#QNAN000e+000	9.94993653e+000	free	1.#QNAN000e+000	3.22742967e+003	free	1.#QNAN000e+000	8.09492053e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.906568e-001	The model is accepted at a confidence level of: 89.347414 percent
1.26929461e+002	free	1.#QNAN000e+000	1.00219957e+001	free	1.#QNAN000e+000	3.20344565e+003	free	1.#QNAN000e+000	8.08796663e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.595376e-001	The model is accepted at a confidence level of: 66.664284 percent
1.27030513e+002	free	1.#QNAN000e+000	9.75349345e+000	free	1.#QNAN000e+000	3.29453731e+003	free	1.#QNAN000e+000	8.09534741e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.775063e-001	The model is accepted at a confidence level of: 58.887504 percent
1.26992395e+002	free	1.#QNAN000e+000	1.00578267e+001	free	1.#QNAN000e+000	3.21680019e+003	free	1.#QNAN000e+000	8.05136419e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.072182e+000	The model is accepted at a confidence level of: 20.580659 percent
1.27015251e+002	free	1.#QNAN000e+000	9.99496553e+000	free	1.#QNAN000e+000	3.19005107e+003	free	1.#QNAN000e+000	8.07391645e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.812571e-001	The model is accepted at a confidence level of: 57.219653 percent
1.26966630e+002	free	1.#QNAN000e+000	9.96830395e+000	free	1.#QNAN000e+000	3.22441699e+003	free	1.#QNAN000e+000	8.10915872e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.418803e-001	The model is accepted at a confidence level of: 73.749115 percent
1.26973299e+002	free	1.#QNAN000e+000	9.92432040e+000	free	1.#QNAN000e+000	3.23475184e+003	free	1.#QNAN000e+000	8.09730816e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.040879e+000	The model is accepted at a confidence level of: 31.477526 percent
1.26986095e+002	free	1.#QNAN000e+000	9.99326825e+000	free	1.#QNAN000e+000	3.21263426e+003	free	1.#QNAN000e+000	8.06385368e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.626555e-001	The model is accepted at a confidence level of: 65.347922 percent
1.27002456e+002	free	1.#QNAN000e+000	9.95519399e+000	free	1.#QNAN000e+000	3.26799048e+003	free	1.#QNAN000e+000	8.05820511e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.760002e-001	The model is accepted at a confidence level of: 59.554066 percent
1.27005333e+002	free	1.#QNAN000e+000	9.97642517e+000	free	1.#QNAN000e+000	3.24180621e+003	free	1.#QNAN000e+000	8.07670379e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.033876e+000	The model is accepted at a confidence level of: 34.249366 percent
1.27033438e+002	free	1.#QNAN000e+000	1.00224290e+001	free	1.#QNAN000e+000	3.22899705e+003	free	1.#QNAN000e+000	8.06264164e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.832169e-001	The model is accepted at a confidence level of: 90.917670 percent
1.27045745e+002	free	1.#QNAN000e+000	1.00452242e+001	free	1.#QNAN000e+000	3.21868704e+003	free	1.#QNAN000e+000	8.05001521e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.381275e-001	The model is accepted at a confidence level of: 75.159692 percent
1.26948014e+002	free	1.#QNAN000e+000	1.03004091e+001	free	1.#QNAN000e+000	3.19230530e+003	free	1.#QNAN000e+000	8.02216178e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.262916e-001	The model is accepted at a confidence level of: 79.353161 percent
1.26898206e+002	free	1.#QNAN000e+000	1.02601865e+001	free	1.#QNAN000e+000	3.16910809e+003	free	1.#QNAN000e+000	8.04051040e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.933729e-001	The model is accepted at a confidence level of: 51.788116 percent
1.27026036e+002	free	1.#QNAN000e+000	1.01955937e+001	free	1.#QNAN000e+000	3.16459667e+003	free	1.#QNAN000e+000	8.06881568e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.042482e+000	The model is accepted at a confidence level of: 30.858395 percent
1.26954103e+002	free	1.#QNAN000e+000	9.96471150e+000	free	1.#QNAN000e+000	3.23657465e+003	free	1.#QNAN000e+000	8.07188178e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.028713e+000	The model is accepted at a confidence level of: 36.358161 percent
1.26954054e+002	free	1.#QNAN000e+000	9.84389781e+000	free	1.#QNAN000e+000	3.27895330e+003	free	1.#QNAN000e+000	8.07722292e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.090829e+000	The model is accepted at a confidence level of: 15.393483 percent
1.26927011e+002	free	1.#QNAN000e+000	1.00205135e+001	free	1.#QNAN000e+000	3.19064124e+003	free	1.#QNAN000e+000	8.10345925e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.873747e-001	The model is accepted at a confidence level of: 54.482112 percent
1.26929744e+002	free	1.#QNAN000e+000	9.88738846e+000	free	1.#QNAN000e+000	3.24037028e+003	free	1.#QNAN000e+000	8.07712487e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.078292e+000	The model is accepted at a confidence level of: 18.770264 percent
